,text
77,"30 MILLION VIEWS ON YOUTUBE!

XG - MASCARA (Official Music Video)
https://t.co/zrvNW4gd9S

#XG
#MASCARA
#XG_MASCARA
#XGALX https://t.co/72L1S2m1Yu"
78,"""I just want to make music like the timeless pieces that I
admire"" https://t.co/iXraEQxqfi"
79,“I believe the unique point of TWICE is that we are always true to our music style.” ❤️ https://t.co/8NG0Sf6UyS
80,"#Kep1er Super Rookie Award Acceptance Speech🏆

🐰: firstly, thank you for giving us this super rookie award. we will become a group that is able to receive this award by giving good music and performances 

@official_kep1er
https://t.co/Q5ktzLGn8w"
81,"Well done to Poppy who achieved three GCSE grade 8s, five grade 7s and Distinction** in music and physical education. 

She will now continue her studies @hucknall6thform 
Great job Poppy! 🎉 #gcseresultsday2022 https://t.co/lOy4ATz2iK"
82,"#Kep1er Super Rookie Award Acceptance Speech🏆

🐰: firstly, thank you for giving us this super rookie award. we will become a group that is able to receive this award by giving good music and performances 

@official_kep1er
https://t.co/Q5ktzLGn8w"
83,THE FACT THAT THEY CHOSE TO RELEASE THE AUDIO AND MUSIC VIDEO FOR #WYAT AT THAT TIME ONLY SHOWS THAT THEY ARE AIMING FOR INTERNATIONAL AUDIENCE AS WELL. THEY WANT THIS THIS AS MUCH AS WE DO!!! SB19 WORLD DOMINATION!! @SB19Official #SB19
84,BLACKPINK secured their 2nd music show win for Pink Venom on M Countdown! This that pink venom 💖 #PinkVenom2ndWin https://t.co/nS42nULOqW
85,"HIGH QUALITY MUSIC VIDEO FOR WYAT BY SB19 PLEASE  🙏

@SB19Official #WYAT 
#SB19 #WhereYouAtSB19 📼"
86,"SURPRISE ARTIST SUPPORT!! (except I literally mentioned it before lol)

✨ Share your art!! (Drawings, writing, music e.t.c..)
✨ Give a quick intro and your goal /nf
✨ En ef tees/NSFW D.N.I
✨ Rt for reach and vouch for others!!"
87,"@arieslmfaoo @mauseoul @halloitsmeok @bimbojock @hyonIyfans 2.
bizarre and funny, something viral
Back then people had the idea that kpop was meaningless music, crazy videos, that idols were robots, manufactured, and all that cliché
It wasn't until the arrival of bts that they started taking kpop seriously, bts went through all
..."
88,this is the most insane resume in music history  https://t.co/Ipno8logh9
89,@BNXN @BNXN  is just the perfect definition of music take some pies from “#Bad since 97” after 10mins🥂❤️✅💫🌏
90,"#LETSFOLLOWEACHOTHRGUYS 
P.S. PLEASE GIVE MY YOUTUBE CHANNEL A SUBSCRIPTION IM TRYING TO HIT #500 AND CHECK OUT MY MUSIC VIDEO LINK BELOW : 
___________________

""HUNDREDS BEFORE THOUSANDS,
THOUSANDS BEFORE MILLIONS.
LETSGO.""

https://t.co/a8kJve7jFp"
91,"Taehyung was asking the fans to be careful. 

BIGHIT PROTECT TAEHYUNG @BIGHIT_MUSIC @HYBELABELStwt ‼️ https://t.co/DNHya3PlKe"
92,"DREAMCATCHER WON BEST MUSIC VIDEO AWARD
#드림캐쳐_2022HDA https://t.co/KlmbyQTayo"
93,@jeontae_kimgguk PROTECT YOUR ARTIST @BIGHIT_MUSIC @bts_bighit @HYBEOFFICIALtwt
94,Taehyungie sharing music with us he is so cute 🥹 https://t.co/gb3eYYFSUX
95,"“Bad Since ‘97” 
OUT NOW‼️🌍 
https://t.co/y3KrVJGkEG https://t.co/MyZ0yTjZGt"
96,@Dean_BEO @Monicalewinskai Mmmm Mustard &amp; Ketchup in hotdogs! And Mayo/Mustard on a ham/cheese bun!
97,"🤟😈😼✌️
Music has given me the opportunity to meet some of the most wonderful people. Rock on. https://t.co/A6GPYvZr2z"
98,"KBS official arrested by police for ""rigging"" Lim Young-woong's 'Music Bank' broadcast points for Le Sserafim's #1 win
 
https://t.co/TLzAQg7e6V https://t.co/38Byw2bKMX"
